id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2384.0,Hyde Park - Walk to UChicago,2613,Rebecca,,Hyde Park,41.7879,-87.5878,Private room,86.0,3,234,2024-03-12,2.09,1,309,23,R17000015609
7126.0,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90166,-87.68021,Entire home/apt,90.0,2,516,2024-03-03,2.88,1,294,31,R24000114046
10945.0,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91196,-87.63981,Entire home/apt,114.0,4,83,2024-03-06,0.69,6,162,23,2209984
12140.0,Lincoln Park Guest House,46734,Shay And Robert,,Lincoln Park,41.92357,-87.64947,Private room,329.0,2,15,2023-05-21,0.14,1,165,2,R20000055258
24833.0,Prime LincolnPark 1 Block Fullerton Express L Deck,101521,Red,,Lincoln Park,41.925961,-87.656364,Entire home/apt,57.0,32,40,2023-04-22,0.24,4,239,1,City registration pending
25879.0,2/1 One  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92499,-87.65573,Entire home/apt,95.0,32,49,2023-09-30,0.29,4,285,1,City registration pending
28749.0,Quirky Bucktown Loft w/ Parking NO PARTIES,27506,Lauri,,Logan Square,41.92137,-87.67933,Entire home/apt,160.0,2,197,2024-01-16,1.22,1,70,28,R24000113825
71930.0,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89615,-87.67934,Private room,76.0,3,110,2024-02-17,0.7,1,223,10,R17000013986
94450.0,Comfy Garden Suite in Andersonville,504470,Mark,,Edgewater,41.9796,-87.66512,Entire home/apt,110.0,3,22,2024-01-14,1.08,1,154,15,R22000082956
145659.0,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,,North Center,41.94342,-87.68121,Entire home/apt,222.0,32,76,2023-11-26,0.74,23,349,16,2209272
145690.0,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,,Lincoln Park,41.91289,-87.63864,Entire home/apt,334.0,32,86,2022-08-11,0.8,23,350,0,2083778
189821.0,"Best in Chicago, private, amazing garden space",899757,Meighan,,Logan Square,41.92918,-87.70219,Entire home/apt,182.0,2,647,2024-03-17,4.24,1,197,48,R21000062936
207218.0,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,,Pullman,41.68843,-87.60712,Entire home/apt,100.0,32,318,2024-01-15,2.08,3,294,19,R21000073121
207351.0,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,,Pullman,41.68954,-87.60786,Entire home/apt,50.0,32,46,2023-08-08,0.3,3,178,1,R21000073121
220333.0,Pullman School House Apartment - monthly rental,1019125,Jb,,Pullman,41.68912,-87.60725,Entire home/apt,100.0,32,4,2023-07-08,0.03,3,314,2,
225314.0,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,,Logan Square,41.92589,-87.69737,Private room,91.0,2,26,2023-10-09,0.18,1,168,5,R20000054219
233933.0,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,,Irving Park,41.95758,-87.7271,Private room,60.0,2,169,2024-03-17,1.11,2,220,15,R22000094076
250354.0,Close to Michigan Ave and parks,1311953,Ronald,,Near South Side,41.85923,-87.62198,Entire home/apt,170.0,180,35,2018-01-15,0.23,1,359,0,City registration pending
258253.0,Studio Apartment Unit 4,1358243,June,,West Ridge,42.0076,-87.6825,Entire home/apt,48.0,33,30,2023-08-25,0.2,2,155,1,398144   Chicago:   R190000050938
264547.0,Steps From the Best Chicago Offers,1387948,Dominic,,Near West Side,41.88413,-87.64315,Entire home/apt,191.0,32,63,2021-10-17,0.44,1,363,0,City registration pending
289689.0,"29 Day+ Med student, interns & interim stays.",1376077,Killian,,Edgewater,41.97806,-87.65676,Private room,32.0,30,68,2024-03-02,0.46,1,180,2,R21000062931
345075.0,"Spacious, Vintage Hyde Park Apt.3 COVID VAX PLS",1746524,Patricia,,Kenwood,41.80774,-87.59459,Private room,115.0,2,283,2023-11-26,1.94,1,287,17,R22000076583
350347.0,"Urban Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,Mi Casa Su Casa Vacations,,Lake View,41.94107,-87.65492,Entire home/apt,161.0,3,734,2024-03-08,5.0,1,201,58,R21000062667
372929.0,Lux Urban 3BR/3BA Duplex + Parking!,1876597,The Adventurers,,West Town,41.89629,-87.65704,Entire home/apt,222.0,2,290,2024-03-17,2.1,2,306,15,2510875
404792.0,Eclectic West Town 2BR w/ Vintage Charm,1844352,Christine,,West Town,41.88947,-87.66933,Entire home/apt,126.0,21,218,2023-11-30,1.53,1,39,10,R23000098892
464581.0,"Large, Private Logan Square Studio",2308792,Jonathan,,Logan Square,41.92518,-87.69549,Entire home/apt,61.0,32,645,2023-08-17,4.57,1,147,1,R17000017731
507517.0,Private Lincoln Square Garden Apt,2501182,Nate,,Lincoln Square,41.96678,-87.6973,Entire home/apt,101.0,2,400,2024-01-01,2.81,1,112,30,R23000111667
542067.0,Logan Square Modern Vintage Garden,2273840,Sarah,,Logan Square,41.93142,-87.69989,Entire home/apt,125.0,32,303,2023-10-19,2.12,1,171,20,R17000015045
584590.0,"Spacious Bedroom, steps to El train",2880338,Elizabeth,,Lincoln Square,41.96528,-87.6831,Private room,50.0,32,52,2023-09-08,0.37,2,180,1,R17000015627
634310.0,The Stained Glass Apt. Edgewater #1,2915265,Felice,,Edgewater,41.99688,-87.66449,Private room,70.0,3,121,2024-03-17,0.86,2,347,10,R22000091618
640841.0,Designer Lakeview Haven. Private Rooftop Oasis!,3200044,James,,Lake View,41.94256,-87.67171,Entire home/apt,226.0,4,92,2024-03-17,1.31,1,16,16,R21000061279
662034.0,Edgebrook bdr by golf course,2824576,Jeff,,Forest Glen,41.99405,-87.75746,Private room,70.0,32,91,2023-10-08,0.71,1,364,6,R23000095494
681842.0,Bedrm/Bath - Swanky Northside Condo,3472696,Roxane,,West Ridge,41.99373,-87.68279,Private room,63.0,32,28,2021-09-07,0.21,2,311,0,R21000061018
697634.0,"2 BD Condo by downtown,park,lake",3574415,Marv,,Near North Side,41.90437,-87.6335,Entire home/apt,97.0,32,159,2023-11-18,1.22,2,275,2,City registration pending
726376.0,"Spacious Studio, Amazing Location!",2658212,James,,Lake View,41.93903,-87.65196,Entire home/apt,95.0,2,802,2024-03-07,5.77,3,29,57,R22000080211
739495.0,Lovely 2 bedroom in Lincoln Square,3867687,Janet,,Lincoln Square,41.9765,-87.68144,Entire home/apt,150.0,32,215,2023-10-10,1.65,1,90,12,R17000020094
755701.0,3 Bedroom Victorian Beauty at Logan Square,3920450,Vas,,Logan Square,41.93115,-87.71836,Entire home/apt,80.0,32,27,2024-01-07,0.21,4,193,3,City registration pending
863120.0,Cozy Private Room in a unique Chicago Penthouse,4525503,Nejla And Enki,,Lincoln Park,41.92218,-87.66079,Private room,85.0,2,153,2024-03-17,1.18,1,26,20,R21000072699
887038.0,MCM Prime LincolnPark 2 Bed 1 Block to Fullerton L,101521,Red,,Lincoln Park,41.92546,-87.6573,Entire home/apt,60.0,32,43,2023-08-13,0.33,4,172,6,City registration pending
903996.0,Private Entrance/Steam Room Ensuite,4019426,Colleen,,Logan Square,41.92708,-87.71212,Private room,110.0,32,144,2020-02-16,1.1,1,55,0,R17000015433
929914.0,Charming renovated Victorian apartment in Old Town,5007980,Lynn,,Lincoln Park,41.91241074,-87.63896942,Entire home/apt,128.0,3,471,2024-03-11,3.52,1,33,45,R21000073898
931105.0,Modern Guest Bedroom Room in Designers House,5015135,Samantha,,East Garfield Park,41.88538,-87.69801,Private room,136.0,32,22,2018-11-02,0.17,1,362,0,R17000015264
960326.0,The Penthouse Gallery at OHC - No Cleaning Fee!,5228189,Matthew,,West Town,41.89602,-87.65659,Entire home/apt,220.0,2,426,2024-02-25,3.24,21,336,48,2457501
966137.0,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,Erika,,Near West Side,41.86801,-87.67877,Entire home/apt,133.0,32,41,2023-09-01,0.31,1,87,1,city registration pending
979841.0,"Huge Victorian near Loyola, Lake #1",5076708,Lois And Eduardo,,Rogers Park,42.00588,-87.66853,Private room,89.0,2,314,2024-03-17,2.36,4,341,38,R17000015436
979926.0,"Huge Victorian near Loyola, Lake #2",5076708,Lois And Eduardo,,Rogers Park,42.00477,-87.66842,Private room,79.0,2,345,2024-03-03,2.61,4,326,42,R17000015436
979942.0,"Huge Victorian near Loyola, Lake #3",5076708,Lois And Eduardo,,Rogers Park,42.00378,-87.66807,Private room,79.0,2,312,2024-03-17,2.34,4,347,27,R17000015436
983640.0,Huge Victorian near Loyola 2bd Apt,5076708,Lois And Eduardo,,Rogers Park,42.00456,-87.67058,Entire home/apt,179.0,2,263,2023-11-25,2.0,4,292,30,R17000015436
