,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,City
0,2384.0,Hyde Park - Walk to UChicago,2613,Rebecca,0.0,Hyde Park,41.7879,-87.5878,Private room,86.0,3,234,2024-03-12,2.09,1,309,23,R17000015609,Chicago
1,7126.0,Tiny Studio Apartment 94 Walk Score,17928,Sarah,0.0,West Town,41.90166,-87.68021,Entire home/apt,90.0,2,516,2024-03-03,2.88,1,294,31,R24000114046,Chicago
2,10945.0,The Biddle House (#1),33004,At Home Inn,0.0,Lincoln Park,41.91196,-87.63981,Entire home/apt,114.0,4,83,2024-03-06,0.69,6,162,23,2209984,Chicago
3,12140.0,Lincoln Park Guest House,46734,Shay And Robert,0.0,Lincoln Park,41.92357,-87.64947,Private room,329.0,2,15,2023-05-21,0.14,1,165,2,R20000055258,Chicago
4,24833.0,Prime LincolnPark 1 Block Fullerton Express L Deck,101521,Red,0.0,Lincoln Park,41.925961,-87.656364,Entire home/apt,57.0,32,40,2023-04-22,0.24,4,239,1,City registration pending,Chicago
5,25879.0,2/1 One  Block to Fullerton L Red Line Deck & Yard,101521,Red,0.0,Lincoln Park,41.92499,-87.65573,Entire home/apt,95.0,32,49,2023-09-30,0.29,4,285,1,City registration pending,Chicago
6,28749.0,Quirky Bucktown Loft w/ Parking NO PARTIES,27506,Lauri,0.0,Logan Square,41.92137,-87.67933,Entire home/apt,160.0,2,197,2024-01-16,1.22,1,70,28,R24000113825,Chicago
7,71930.0,"Rest, Relax and Explore",334241,Michael And Veronica,0.0,West Town,41.89615,-87.67934,Private room,76.0,3,110,2024-02-17,0.7,1,223,10,R17000013986,Chicago
8,94450.0,Comfy Garden Suite in Andersonville,504470,Mark,0.0,Edgewater,41.9796,-87.66512,Entire home/apt,110.0,3,22,2024-01-14,1.08,1,154,15,R22000082956,Chicago
9,145659.0,Trendy Roscoe Village 3BR/2BR walk to shops,683529,Joe,0.0,North Center,41.94342,-87.68121,Entire home/apt,222.0,32,76,2023-11-26,0.74,23,349,16,2209272,Chicago
10,145690.0,4BR/2BR Walk to North Ave Beach & Zoo~Close to El,683529,Joe,0.0,Lincoln Park,41.91289,-87.63864,Entire home/apt,334.0,32,86,2022-08-11,0.8,23,350,0,2083778,Chicago
11,189821.0,"Best in Chicago, private, amazing garden space",899757,Meighan,0.0,Logan Square,41.92918,-87.70219,Entire home/apt,182.0,2,647,2024-03-17,4.24,1,197,48,R21000062936,Chicago
12,207218.0,Historic Pullman Artist Flat - Monthly Rental,1019125,Jb,0.0,Pullman,41.68843,-87.60712,Entire home/apt,100.0,32,318,2024-01-15,2.08,3,294,19,R21000073121,Chicago
13,207351.0,Pullman Art Studio - One Person - Monthly Rental,1019125,Jb,0.0,Pullman,41.68954,-87.60786,Entire home/apt,50.0,32,46,2023-08-08,0.3,3,178,1,R21000073121,Chicago
14,220333.0,Pullman School House Apartment - monthly rental,1019125,Jb,0.0,Pullman,41.68912,-87.60725,Entire home/apt,100.0,32,4,2023-07-08,0.03,3,314,2,City registration pending,Chicago
15,225314.0,Cozy & comfy with AC close to California Blue Line,1173654,Jillian,0.0,Logan Square,41.92589,-87.69737,Private room,91.0,2,26,2023-10-09,0.18,1,168,5,R20000054219,Chicago
16,233933.0,Lovely Bedroom 3 in a New Renovated Apartment,1224828,Tippi,0.0,Irving Park,41.95758,-87.7271,Private room,60.0,2,169,2024-03-17,1.11,2,220,15,R22000094076,Chicago
17,250354.0,Close to Michigan Ave and parks,1311953,Ronald,0.0,Near South Side,41.85923,-87.62198,Entire home/apt,170.0,180,35,2018-01-15,0.23,1,359,0,City registration pending,Chicago
18,258253.0,Studio Apartment Unit 4,1358243,June,0.0,West Ridge,42.0076,-87.6825,Entire home/apt,48.0,33,30,2023-08-25,0.2,2,155,1,398144   Chicago:   R190000050938,Chicago
19,264547.0,Steps From the Best Chicago Offers,1387948,Dominic,0.0,Near West Side,41.88413,-87.64315,Entire home/apt,191.0,32,63,2021-10-17,0.44,1,363,0,City registration pending,Chicago
20,289689.0,"29 Day+ Med student, interns & interim stays.",1376077,Killian,0.0,Edgewater,41.97806,-87.65676,Private room,32.0,30,68,2024-03-02,0.46,1,180,2,R21000062931,Chicago
21,345075.0,"Spacious, Vintage Hyde Park Apt.3 COVID VAX PLS",1746524,Patricia,0.0,Kenwood,41.80774,-87.59459,Private room,115.0,2,283,2023-11-26,1.94,1,287,17,R22000076583,Chicago
22,350347.0,"Urban Chicago Loft, 1 blk to train w/ 2 pkg spots",845242,Mi Casa Su Casa Vacations,0.0,Lake View,41.94107,-87.65492,Entire home/apt,161.0,3,734,2024-03-08,5.0,1,201,58,R21000062667,Chicago
